,Num_Cells_Strain1,Num_Cells_Strain2,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Replating,New_Stability
70,7,6,46,0.1,0.3,0.9682587673410904,1.0166344236189464,"[[-109 -157]
 [-104 -169]
 [  45   74]
 [-180   55]
 [   7  138]
 [-152   -7]
 [ -63   24]]","[[  65  -41]
 [ -33  -70]
 [ 159   27]
 [ -80  -24]
 [ -37  177]
 [ -32 -176]]",0.6,0.9,0.4
71,10,4,46,0.1,0.3,0.9866053881785156,1.158686042068783,"[[ 162  174]
 [ 152  183]
 [ -35  -74]
 [ 151   44]
 [-179  116]
 [  74   35]
 [  92 -165]
 [ 162   45]
 [-120  193]
 [ 137  -84]]","[[ -48   63]
 [ 140 -198]
 [ -44 -165]
 [ 167  104]]",0.1,0.9,0.6
72,7,2,46,0.1,0.3,0.5942579075946526,0.5282235185468764,"[[ -38   98]
 [ -84  -52]
 [  77   66]
 [-193  109]
 [ -79  154]
 [ 171  119]
 [-145  143]]","[[  22 -130]
 [ 178 -186]]",0.0,0.9,0.0
73,6,4,46,0.1,0.3,1.069298945762203,0.4563030289453763,"[[ 179  126]
 [-148   96]
 [ 150 -151]
 [ -69  -34]
 [ -14   63]
 [ 150 -167]]","[[148 155]
 [153  23]
 [168 134]
 [ 75 177]]",0.2,0.9,0.1
74,4,6,46,0.1,0.3,0.989198972146744,1.1397466376972132,"[[-175  -48]
 [-144  -55]
 [  79 -112]
 [  18   65]]","[[-187   -7]
 [-114   51]
 [  59  158]
 [  90   59]
 [ 145 -112]
 [-164   58]]",0.2,0.9,0.5
75,4,3,46,0.1,0.3,0.9472998454626602,0.8547651406864017,"[[  82  110]
 [-191  117]
 [-135   53]
 [  35   48]]","[[  25   22]
 [ -54  -14]
 [ 149 -100]]",0.0,0.9,0.0
76,3,6,46,0.1,0.3,1.0015350814966753,1.1005911672866489,"[[  57   73]
 [-163  -68]
 [-178   45]]","[[-119  -67]
 [-133 -155]
 [  21  -60]
 [ 175  101]
 [-185 -125]
 [ 140   36]]",0.5,0.9,0.4
77,10,2,46,0.1,0.3,1.099082261439216,0.3776506390925456,"[[ -41  116]
 [  81  158]
 [-144  137]
 [  57  -56]
 [  68  -57]
 [  83 -136]
 [-172  137]
 [ -12 -151]
 [-101 -137]
 [  25  -45]]","[[ 101 -155]
 [  66  -95]]",0.0,0.9,0.0
78,5,5,46,0.1,0.3,1.023927354599842,0.6557074996571959,"[[  40  -40]
 [  30 -169]
 [  -5   19]
 [ 102  100]
 [  -1  146]]","[[ 79  46]
 [161 142]
 [ 42 133]
 [185 110]
 [ 44 172]]",0.0,0.9,0.2
79,1,1,46,0.1,0.3,0.0,0.0,[[ 99 142]],[[68 -7]],0.0,0.9,0.0
80,7,5,46,0.1,0.3,1.0120649215055657,1.1863731558312136,"[[  70  106]
 [-179   90]
 [-153  -57]
 [ 114 -132]
 [  37 -143]
 [-134 -108]
 [-182   -6]]","[[-189    3]
 [ 164  -87]
 [  19  144]
 [-148 -121]
 [ -25  154]]",0.8,0.9,0.7
81,2,5,46,0.1,0.3,1.1772969943296439,1.2377455634098522,"[[  23 -181]
 [ 145   14]]","[[ -53 -158]
 [ 113  130]
 [-117  -13]
 [ 168  115]
 [ 120 -124]]",0.0,0.9,0.0
82,9,5,46,0.1,0.3,1.1001769342488883,0.8922798531660547,"[[-194 -194]
 [ -74  143]
 [ 102  -99]
 [ -65   42]
 [ 163 -133]
 [ 167   56]
 [-198 -130]
 [-185   82]
 [-178  -70]]","[[ 158   77]
 [ -35  142]
 [  35  -65]
 [ 130   62]
 [ -90 -146]]",0.0,0.9,0.0
83,3,9,46,0.1,0.3,1.3153691533532164,0.8100735879681031,"[[ 169 -187]
 [ -92  106]
 [-166   61]]","[[ -13   75]
 [ -16 -192]
 [ -81 -187]
 [ 173  -28]
 [ -16   35]
 [ 120 -134]
 [ -27  -20]
 [-124  -36]
 [-122 -140]]",0.0,0.9,0.0
84,8,7,46,0.1,0.3,1.0961776745826228,1.1333985813704353,"[[  99  -65]
 [-138   19]
 [ -45  -65]
 [  -8  165]
 [ 124 -192]
 [-199   51]
 [  92   16]
 [ 198   50]]","[[  67 -192]
 [-182    4]
 [ 135   10]
 [-110   14]
 [  -1  186]
 [  50  164]
 [ 144  -62]]",0.4,0.9,0.5
85,7,2,46,0.1,0.3,0.8624835844343149,1.0692920837489122,"[[-186 -101]
 [  72   67]
 [  62   67]
 [  49 -193]
 [ -49  -44]
 [  67   56]
 [  91    2]]","[[ 109 -190]
 [ 166   15]]",0.0,0.9,0.0
86,1,1,46,0.1,0.3,0.0,0.0,[[-187  -47]],[[-162   85]],0.0,0.9,0.0
