,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,Optimizer
245,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,random_uniform,l2,1,0.933150827884674,0.9231075763702392,0.93518887758255,adam
246,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,random_uniform,l2,1,0.904430079460144,0.9055776953697204,0.9216699838638306,adam
247,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,random_normal,l1,1,0.9247386813163756,0.9183267116546632,0.9431411504745484,adam
248,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,random_normal,l1,1,0.8828272938728332,0.8928286790847778,0.9021868944168092,adam
249,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,random_normal,l2,1,0.9366849064826964,0.9239043831825255,0.941153073310852,adam
250,3000,0.0001,256,"[100, 75, 50, 25]",0.1,elu,he_normal,l1,1,0.8935291171073914,0.913545823097229,0.9149105310440064,adam
251,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,random_normal,l2,1,0.9011448502540588,0.9063745021820068,0.9208747506141662,adam
252,3000,0.0003,256,"[100, 75, 50, 25]",0.1,relu,he_uniform,l1,1,0.9444499611854552,0.924701201915741,0.9367793202400208,adam
253,3000,0.0003,256,"[100, 75, 50, 25]",0.1,elu,he_uniform,l1,1,0.8961174607276916,0.907171320915222,0.9184890627861024,adam
254,3000,0.0003,256,"[100, 75, 50, 25]",0.1,relu,he_uniform,l2,1,0.9476356387138368,0.907171320915222,0.9272365927696228,adam
255,3000,0.0003,256,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,1,0.9142857074737548,0.915936267375946,0.9355865001678468,adam
256,3000,0.0003,256,"[100, 75, 50, 25]",0.1,relu,he_normal,l1,1,0.9477849721908568,0.9187250971794128,0.9431411504745484,adam
